outlet,n_articles,mean_distance,ci_low,ci_high,em_consensus_agreement
bangordailynews.com,3,0.772311,0.761856,0.787510,0.500000
thirteen.org,3,0.772351,0.720518,0.849887,0.500000
aljazeera.com,22,0.772395,0.754294,0.789846,0.500000
ottumwacourier.com,3,0.772567,0.162509,0.834716,0.500000
klcc.org,3,0.773702,0.031271,0.790444,0.500000
elpasotimes.com,2,0.773770,0.683694,0.863847,0.500000
opb.org,4,0.774247,0.744108,0.795409,0.500000
nbcwashington.com,8,0.774918,0.757616,0.792862,0.500000
ktar.com,4,0.775322,0.680687,0.876701,0.500000
news.ballotpedia.org,2,0.775433,0.772421,0.778444,0.500000
kpbs.org,1,0.776365,0.776365,0.776365,0.500000
slate.com,8,0.776694,0.742854,0.810864,0.500000
aldailynews.com,3,0.776751,0.661661,0.886512,0.500000
merkley.senate.gov,1,0.776771,0.776771,0.776771,0.500000
militarytimes.com,1,0.776789,0.776789,0.776789,0.500000
timesfreepress.com,1,0.777104,0.777104,0.777104,0.500000
cnbc.com,17,0.777257,0.758954,0.795421,0.503403
barrons.com,2,0.777412,0.772135,0.782689,0.500000
federalnewsnetwork.com,1,0.777558,0.777558,0.777558,0.500000
ms.now,37,0.777917,0.758641,0.796040,0.505910
wired.com,2,0.778336,0.755228,0.801443,0.500000
apnews.com,59,0.778709,0.765937,0.789769,0.496574
news4jax.com,3,0.778755,0.000000,0.817947,0.500000
wkrn.com,3,0.779085,0.672993,0.856152,0.500000
abc7chicago.com,9,0.779264,0.758239,0.794170,0.500000
brennancenter.org,6,0.781345,0.727784,0.838431,0.500000
wsj.com,40,0.781441,0.767344,0.794562,0.502480
nativenewsonline.net,3,0.781451,0.738849,0.841775,0.500000
gazette.com,8,0.781505,0.765312,0.796778,0.500000
bbc.com,32,0.781911,0.761334,0.802883,0.500000
broadbandbreakfast.com,2,0.782024,0.722193,0.841855,0.500000
hawaiinewsnow.com,3,0.782132,0.223507,0.807578,0.624687
newrepublic.com,9,0.782191,0.751220,0.812529,0.512500
coloradosun.com,6,0.782297,0.753284,0.806142,0.500000
wcnc.com,4,0.782438,0.711496,0.822242,0.500000
scotusblog.com,18,0.782722,0.760828,0.807745,0.500000
azfamily.com,4,0.782799,0.278966,0.820586,0.500000
latimes.com,15,0.783190,0.751577,0.811034,0.508996
kuow.org,2,0.783385,0.753780,0.812989,0.500000
ynetnews.com,3,0.783441,0.508330,0.791953,0.500000
realtor.com,3,0.783755,0.774388,0.798770,0.500000
presidentialprayerteam.org,4,0.783773,0.745307,0.811807,0.500000
kgou.org,2,0.783837,0.031271,0.793339,0.500000
spectrumnews1.com,5,0.784438,0.756781,0.807583,0.500000
cnn.com,48,0.784606,0.768975,0.799659,0.504278
forbes.com,16,0.785010,0.754584,0.815019,0.458463
bloomberg.com,19,0.785164,0.767337,0.803692,0.516085
kcci.com,1,0.785257,0.785257,0.785257,0.500000
jurist.org,5,0.785301,0.755013,0.812150,0.500000
time.com,13,0.785379,0.757343,0.812024,0.505931
sfchronicle.com,2,0.785715,0.547305,0.795348,0.500000
newschannel9.com,1,0.785759,0.785759,0.785759,0.500000
thenationaldesk.com,6,0.785944,0.721652,0.820631,0.602650
votebeat.org,2,0.786007,0.775837,0.796176,0.500000
abc10.com,8,0.786473,0.750033,0.823658,0.500000
thedailyrecord.com,5,0.786727,0.761363,0.816639,0.500000
spectrumlocalnews.com,15,0.786808,0.760165,0.811976,0.500000
juneauindependent.com,4,0.786919,0.734187,0.823549,0.500000
reuters.com,46,0.787484,0.776661,0.799479,0.507278
oskaloosa.com,5,0.787704,0.671920,0.831276,0.500000
pbs.org,60,0.787784,0.777282,0.799175,0.506914
aol.com,2,0.788091,0.784415,0.791766,0.500000
newsday.com,5,0.788258,0.729023,0.802223,0.592956
economist.com,2,0.788429,0.751720,0.825138,0.500000
news.bloomberglaw.com,8,0.788976,0.763845,0.817537,0.500000
kosu.org,2,0.789002,0.754904,0.823101,0.500000
usatoday.com,43,0.789722,0.771994,0.805957,0.509745
wivb.com,3,0.789736,0.757262,0.821641,0.500000
cbs8.com,3,0.789960,0.715972,0.843321,0.500000
truthout.org,2,0.790242,0.759864,0.820620,0.500000
coloradopolitics.com,10,0.790382,0.770035,0.809637,0.500000
finance.yahoo.com,7,0.790535,0.769744,0.811896,0.500000
rmpbs.org,6,0.790655,0.779616,0.803074,0.500000
kvue.com,7,0.790813,0.748557,0.829067,0.500000
conduitstreet.mdcounties.org,1,0.791007,0.791007,0.791007,0.500000
alabamareflector.com,1,0.791144,0.791144,0.791144,0.500000
nbcnews.com,169,0.791169,0.783647,0.798014,0.516774
douglasco.gov,4,0.791169,0.767064,0.806680,0.500000
csmonitor.com,1,0.791245,0.791245,0.791245,0.500000
spokesman.com,2,0.791324,0.731160,0.851489,0.500000
denverpost.com,14,0.791520,0.774304,0.809787,0.500000
journalgazette.net,1,0.791794,0.791794,0.791794,0.500000
mdjonline.com,1,0.791794,0.791794,0.791794,0.500000
channel3000.com,3,0.792045,0.756765,0.841774,0.500000
washingtonexaminer.com,18,0.792229,0.761032,0.818516,0.506249
13newsnow.com,4,0.792436,0.292857,0.808571,0.500000
katv.com,5,0.792952,0.733430,0.834756,0.500000
hollywoodreporter.com,3,0.793309,0.293603,0.835931,0.500000
wispolitics.com,4,0.793370,0.482277,0.809202,0.500000
theguardian.com,120,0.793799,0.783459,0.803713,0.514561
seattletimes.com,7,0.794082,0.766363,0.822266,0.500000
springfieldnewssun.com,6,0.794163,0.744858,0.841981,0.500000
kplctv.com,5,0.794239,0.757794,0.822022,0.500000
wlrn.org,5,0.794422,0.774149,0.828697,0.500000
ocregister.com,17,0.794590,0.789207,0.801166,0.500000
rollcall.com,10,0.794629,0.766605,0.822807,0.500000
komonews.com,5,0.794636,0.696833,0.842867,0.500000
atlantanewsfirst.com,3,0.795148,0.670762,0.870270,0.500000
wmur.com,5,0.795191,0.726566,0.852623,0.500000
clickorlando.com,5,0.795222,0.725263,0.838010,0.500000
npr.org,84,0.795324,0.787548,0.803697,0.528298
jpost.com,6,0.795471,0.767433,0.826289,0.526726
eenews.net,6,0.795532,0.773177,0.818473,0.500000
gjsentinel.com,3,0.796459,0.162509,0.816143,0.500000
kcrg.com,2,0.796474,0.722678,0.870270,0.500000
quiverquant.com,2,0.797101,0.786312,0.807890,0.500000
people.com,3,0.797277,0.666507,0.807609,0.625000
wyomingnews.com,2,0.797638,0.797638,0.797638,0.500000
mmamania.com,1,0.797684,0.797684,0.797684,0.500000
idahostatejournal.com,6,0.797861,0.772042,0.811157,0.500000
usnews.com,10,0.798260,0.771033,0.824184,0.509006
mymcmedia.org,3,0.798346,0.792563,0.801238,0.500000
wkyc.com,1,0.798676,0.798676,0.798676,0.500000
france24.com,5,0.799056,0.566358,0.834108,0.848005
newsnationnow.com,6,0.799108,0.767848,0.831662,0.500000
coloradonewsline.com,9,0.799460,0.784876,0.813253,0.500000
wbaltv.com,14,0.800134,0.778774,0.821104,0.500000
tradingview.com,4,0.800218,0.795106,0.804392,0.500000
military.com,2,0.800519,0.740589,0.860448,0.500000
upi.com,5,0.800771,0.738238,0.837149,0.500000
9news.com,19,0.801253,0.782252,0.821253,0.500000
wlwt.com,6,0.801407,0.729381,0.850031,0.500000
inquirer.com,4,0.801871,0.753704,0.812178,0.500000
washingtonpost.com,90,0.801931,0.792209,0.811257,0.505873
kansasreflector.com,2,0.802275,0.796238,0.808311,0.500000
wdsu.com,17,0.802519,0.782632,0.819426,0.500000
localnewslive.com,2,0.802667,0.395438,0.811922,0.500000
thedailybeast.com,9,0.802705,0.788585,0.816589,0.500000
abcnews.com,49,0.802805,0.789645,0.815101,0.515355
ksby.com,1,0.802944,0.802944,0.802944,0.500000
king5.com,4,0.802957,0.791206,0.814708,0.500000
pix11.com,2,0.803246,0.761479,0.845014,0.500000
yahoo.com,54,0.803674,0.795483,0.812637,0.504016
cbsnews.com,149,0.803751,0.795681,0.811232,0.516856
abc7ny.com,2,0.803850,0.795708,0.811993,0.500000
abcnews.go.com,24,0.804404,0.789817,0.817528,0.510246
espn.com,20,0.804513,0.789342,0.819451,0.500000
nytimes.com,197,0.805040,0.798161,0.812157,0.498023
timesofisrael.com,5,0.805042,0.772542,0.830037,0.538915
aei.org,3,0.805088,0.715149,0.859593,0.500000
abc4.com,2,0.805688,0.771702,0.839674,0.500000
wlbt.com,2,0.805707,0.395438,0.815031,0.500000
dcnewsnow.com,2,0.805809,0.805809,0.805809,0.500000
marylandmatters.org,2,0.805967,0.781743,0.830191,0.500000
nymag.com,7,0.806066,0.767690,0.842170,0.500000
adn.com,3,0.806149,0.792044,0.834171,0.500000
newsroom.loc.gov,5,0.806616,0.788807,0.821905,0.500000
ncregister.com,2,0.806627,0.402923,0.813763,0.500000
alaskabeacon.com,3,0.806637,0.778800,0.826546,0.500000
notus.org,7,0.807330,0.766692,0.842512,0.500000
foxnews.com,134,0.808001,0.798856,0.816210,0.505778
sports.yahoo.com,17,0.808101,0.792363,0.823075,0.500000
nola.com,12,0.808270,0.790841,0.826186,0.500000
law360.com,3,0.808456,0.202390,0.818053,0.500000
audacy.com,5,0.809089,0.779690,0.839330,0.500000
mainepublic.org,2,0.809554,0.788079,0.831028,0.500000
rollingstone.com,1,0.809974,0.809974,0.809974,0.500000
wfmd.com,5,0.810039,0.773981,0.844226,0.500000
dallasnews.com,5,0.810647,0.760856,0.842061,0.500000
motherjones.com,28,0.810859,0.787147,0.832791,0.501277
calmatters.org,3,0.811208,0.775139,0.861890,0.500000
nvdaily.com,1,0.811294,0.811294,0.811294,0.500000
govexec.com,3,0.811390,0.796265,0.841640,0.500000
